,bfe28199-ae60-41ee-8296-6c0ad1a5f237,e51aba7d-76b3-4781-852f-fea474674e34,fd9a7eab-529f-427b-8cde-49a62263833f,425b92af-8faf-4e4a-bda3-26c1a5d3d9bc
American Psycho,56.0,56.0,56.0,56.0
Snatch,56.0,56.0,56.0,56.0
Requiem for a Dream,55.0,55.0,55.0,55.0
Memento,55.0,55.0,55.0,55.0
Malena,56.0,56.0,56.0,56.0
Cast Away,55.0,55.0,55.0,55.0
Scary Movie,77.0,73.0,76.0,56.0
The Perfect Storm,77.0,73.0,73.0,56.0
Coyote Ugly,77.0,73.0,76.0,56.0
X-Men,88.0,72.0,72.0,55.0
Space Cowboys,77.0,73.0,73.0,56.0
The Patriot,88.0,72.0,72.0,55.0
Erin Brockovich,79.0,76.0,63.0,55.0
Unbreakable,55.0,55.0,55.0,55.0
Charlie's Angels,77.0,73.0,73.0,56.0
Road Trip,77.0,73.0,76.0,56.0
The Beach,77.0,73.0,76.0,56.0
Bring It on,77.0,73.0,76.0,56.0
Remember the Titans,79.0,76.0,63.0,55.0
Mission: Impossible II,77.0,73.0,73.0,56.0
"O Brother, Where Art Thou?",55.0,55.0,55.0,55.0
The 6th Day,77.0,73.0,73.0,56.0
Chicken Run,57.0,57.0,68.0,46.0
The Cell,77.0,73.0,76.0,56.0
Final Destination,77.0,73.0,76.0,56.0
Traffic,55.0,55.0,55.0,55.0
Sexy Beast,55.0,55.0,55.0,55.0
In the Mood for Love,55.0,55.0,55.0,55.0
What Lies Beneath,77.0,73.0,76.0,56.0
The Emperor's New Groove,57.0,57.0,68.0,46.0
"Crouching Tiger, Hidden Dragon",86.0,70.0,72.0,60.0
Gone in 60 Seconds,77.0,73.0,73.0,56.0
"Dude, Where's My Car?",77.0,73.0,76.0,56.0
Meet the Parents,56.0,56.0,56.0,56.0
Pitch Black,88.0,72.0,72.0,55.0
Hollow Man,77.0,73.0,73.0,56.0
Ginger Snaps,77.0,73.0,76.0,56.0
Miss Congeniality,77.0,73.0,73.0,56.0
High Fidelity,56.0,56.0,56.0,56.0
Battlefield Earth,72.0,72.0,72.0,72.0
Scream 3,77.0,73.0,76.0,56.0
Best in Show,56.0,56.0,56.0,56.0
The Whole Nine Yards,77.0,73.0,76.0,56.0
Billy Elliot,55.0,55.0,55.0,55.0
Amores Perros,55.0,55.0,55.0,55.0
"Me, Myself & Irene",77.0,73.0,76.0,56.0
U-571,77.0,73.0,73.0,56.0
Bedazzled,77.0,73.0,76.0,56.0
The Road to El Dorado,77.0,73.0,69.0,46.0
Scarlet Diva,76.0,76.0,76.0,76.0
Dinosaur,77.0,73.0,69.0,46.0
How the Grinch Stole Christmas,77.0,73.0,76.0,56.0
Dancer in the Dark,55.0,55.0,55.0,55.0
What Women Want,77.0,73.0,76.0,56.0
The Gift,77.0,73.0,76.0,55.0
The Family Man,77.0,73.0,76.0,56.0
Mission to Mars,77.0,73.0,72.0,55.0
The Replacements,77.0,73.0,76.0,56.0
Next Friday,77.0,73.0,76.0,56.0
Little Nicky,77.0,73.0,76.0,56.0
Boiler Room,55.0,55.0,55.0,55.0
Frequency,55.0,55.0,55.0,55.0
Men of Honor,79.0,76.0,63.0,55.0
28 Days,77.0,73.0,76.0,56.0
Love & Basketball,55.0,55.0,55.0,55.0
Shanghai Noon,77.0,73.0,73.0,56.0
The Little Vampire,77.0,73.0,76.0,56.0
Quills,79.0,76.0,63.0,55.0
Pay It Forward,55.0,55.0,55.0,55.0
Vertical Limit,77.0,73.0,73.0,56.0
The Flintstones in Viva Rock Vegas,66.0,76.0,66.0,56.0
Baise-moi,76.0,76.0,76.0,76.0
Reindeer Games,77.0,73.0,73.0,56.0
Dracula 2000,73.0,76.0,72.0,73.0
102 Dalmatians,76.0,76.0,76.0,76.0
Red Planet,77.0,73.0,73.0,56.0
Dungeons & Dragons,73.0,76.0,72.0,73.0
Get Carter,77.0,73.0,73.0,56.0
Wonder Boys,56.0,56.0,56.0,56.0
Shaft,77.0,73.0,73.0,56.0
Finding Forrester,55.0,55.0,55.0,55.0
The Legend of Bagger Vance,77.0,73.0,76.0,56.0
Titan A.E.,77.0,73.0,69.0,46.0
Snow Day,77.0,73.0,76.0,56.0
The Watcher,77.0,73.0,76.0,56.0
The Skulls,77.0,73.0,73.0,56.0
Romeo Must Die,77.0,73.0,73.0,56.0
Big Momma's House,77.0,73.0,73.0,56.0
Drowning Mona,77.0,73.0,76.0,56.0
Chopper,79.0,76.0,63.0,55.0
Keeping the Faith,77.0,73.0,76.0,56.0
Center Stage,77.0,73.0,76.0,56.0
Dancing at the Blue Iguana,77.0,73.0,76.0,56.0
Book of Shadows: Blair Witch 2,76.0,76.0,76.0,76.0
Rules of Engagement,77.0,73.0,76.0,56.0
Thirteen Days,55.0,55.0,55.0,55.0
You Can Count on Me,55.0,55.0,55.0,55.0
The Kid,79.0,76.0,65.0,56.0
All the Pretty Horses,77.0,73.0,76.0,56.0
Hanging Up,66.0,76.0,66.0,56.0
Yi Yi,86.0,70.0,72.0,60.0
The Dish,56.0,56.0,56.0,56.0
Supernova,76.0,76.0,76.0,76.0
Loser,77.0,73.0,76.0,56.0
Down to You,66.0,76.0,66.0,56.0
The Way of the Gun,77.0,73.0,73.0,56.0
The Adventures of Rocky & Bullwinkle,63.0,76.0,68.0,45.0
Cecil B. Demented,77.0,73.0,70.0,56.0
Nutty Professor II: the Klumps,66.0,76.0,66.0,56.0
The Crimson Rivers,77.0,73.0,76.0,56.0
Proof of Life,77.0,73.0,73.0,56.0
Bamboozled,77.0,73.0,76.0,56.0
Shadow of the Vampire,77.0,73.0,76.0,56.0
Thomas and the Magic Railroad,81.0,69.0,78.0,78.0
Tigerland,55.0,55.0,55.0,55.0
Return to Me,77.0,73.0,76.0,56.0
Boys and Girls,77.0,73.0,76.0,56.0
Whatever It Takes,77.0,73.0,76.0,56.0
Chuck & Buck,77.0,73.0,76.0,56.0
Autumn in New York,77.0,73.0,76.0,56.0
Pollock,79.0,76.0,63.0,55.0
The Art of War,77.0,73.0,73.0,58.0
Before Night Falls,79.0,76.0,63.0,55.0
Left Behind: The Movie,73.0,76.0,72.0,73.0
Love & Sex,77.0,73.0,76.0,56.0
Psycho Beach Party,77.0,73.0,76.0,56.0
Bait,77.0,73.0,73.0,56.0
Saving Grace,77.0,73.0,76.0,56.0
The Isle,55.0,55.0,55.0,55.0
Water Drops on Burning Rocks,77.0,73.0,76.0,56.0
Greenfingers,77.0,73.0,76.0,56.0
Highlander: Endgame,73.0,76.0,70.0,73.0
Dr. T & the Women,66.0,76.0,66.0,56.0
The Yards,77.0,73.0,76.0,56.0
Urban Legends: Final Cut,76.0,76.0,76.0,76.0
Woman on Top,77.0,73.0,76.0,56.0
Ready to Rumble,77.0,73.0,76.0,56.0
Vampire Hunter D: Bloodlust,57.0,57.0,68.0,46.0
Werckmeister Harmonies,74.0,73.0,68.0,55.0
The Ladies Man,77.0,73.0,76.0,56.0
The Contender,77.0,73.0,76.0,56.0
Nine Queens,57.0,57.0,72.0,55.0
The Broken Hearts Club: A Romantic Comedy,56.0,56.0,56.0,56.0
The in Crowd,82.0,76.0,70.0,53.0
Girlfight,77.0,73.0,76.0,56.0
Beautiful Creatures,77.0,73.0,76.0,56.0
Gossip,77.0,73.0,76.0,56.0
Waking the Dead,82.0,73.0,76.0,53.0
My Dog Skip,56.0,56.0,56.0,56.0
Under the Sand,55.0,55.0,55.0,55.0
O Fantasma,77.0,73.0,70.0,56.0
Hey Ram,55.0,55.0,55.0,55.0
Duets,77.0,73.0,76.0,56.0
The Weight of Water,77.0,73.0,72.0,55.0
Lucky Numbers,82.0,76.0,70.0,53.0
Animal Factory,77.0,73.0,76.0,56.0
Bless the Child,77.0,73.0,76.0,56.0
The Man Who Cried,77.0,73.0,76.0,56.0
State and Main,82.0,73.0,76.0,53.0
Rugrats in Paris,77.0,73.0,69.0,46.0
Code Unknown,55.0,55.0,55.0,55.0
Maelstrom,77.0,73.0,70.0,56.0
Gangster No. 1,77.0,73.0,76.0,56.0
Taxi 2,77.0,73.0,73.0,56.0
Small Time Crooks,77.0,73.0,76.0,56.0
Songs from the Second Floor,56.0,56.0,56.0,56.0
Bounce,77.0,73.0,76.0,56.0
Bread and Tulips,57.0,57.0,72.0,55.0
Brother,57.0,57.0,72.0,55.0
"Love, Honor and Obey",77.0,73.0,76.0,56.0
Nurse Betty,77.0,73.0,76.0,56.0
The House of Mirth,55.0,55.0,55.0,55.0
Beautiful,77.0,73.0,76.0,56.0
Here on Earth,77.0,73.0,76.0,56.0
The Million Dollar Hotel,77.0,73.0,76.0,56.0
The Tigger Movie,77.0,73.0,69.0,46.0
What Planet Are You From?,82.0,73.0,76.0,53.0
Sade,79.0,76.0,65.0,56.0
Committed,77.0,73.0,76.0,56.0
Tillsammans,56.0,56.0,56.0,56.0
Harrison's Flowers,66.0,67.0,66.0,55.0
The Specials,77.0,73.0,73.0,56.0
Love's Labour's Lost,77.0,73.0,76.0,56.0
Lost Souls,76.0,76.0,76.0,76.0
The Golden Bowl,77.0,73.0,76.0,56.0
Digimon: The Movie,77.0,73.0,69.0,46.0
Kaho Naa... Pyaar Hai,77.0,73.0,73.0,56.0
Sordid Lives,77.0,73.0,76.0,56.0
The Monkey's Mask,77.0,73.0,76.0,56.0
Suzhou River,55.0,55.0,55.0,55.0
The Next Best Thing,66.0,76.0,66.0,56.0
Ed Gein,79.0,76.0,65.0,56.0
Gun Shy,77.0,73.0,76.0,56.0
Big Eden,56.0,56.0,56.0,56.0
Harry Potter and the Sorcerer's Stone,55.0,55.0,55.0,55.0
The Fast and the Furious,77.0,73.0,73.0,56.0
The Lord of the Rings: The Fellowship of the Ring,88.0,72.0,72.0,55.0
Legally Blonde,77.0,73.0,76.0,56.0
Mulholland Dr.,55.0,55.0,55.0,55.0
"Monsters, Inc.",57.0,57.0,68.0,46.0
Spirited Away,57.0,57.0,68.0,46.0
Donnie Darko,55.0,55.0,55.0,55.0
Not Another Teen Movie,77.0,73.0,76.0,56.0
Scary Movie 2,77.0,73.0,76.0,56.0
Ocean's Eleven,55.0,55.0,55.0,55.0
Shrek,57.0,57.0,68.0,46.0
Black Hawk Down,55.0,55.0,55.0,55.0
A Beautiful Mind,79.0,76.0,63.0,55.0
The Mummy Returns,77.0,73.0,73.0,56.0
Pearl Harbor,77.0,67.0,86.0,56.0
The Royal Tenenbaums,56.0,56.0,56.0,56.0
Amélie,56.0,56.0,56.0,56.0
Training Day,55.0,55.0,55.0,55.0
A.I. Artificial Intelligence,55.0,55.0,55.0,55.0
Ghost World,56.0,56.0,56.0,56.0
Super Troopers,56.0,56.0,56.0,56.0
A Knight's Tale,77.0,73.0,73.0,56.0
Blow,79.0,76.0,63.0,55.0
Hannibal,77.0,73.0,76.0,56.0
The Princess Diaries,77.0,73.0,76.0,56.0
Moulin Rouge!,55.0,55.0,55.0,55.0
Vanilla Sky,77.0,73.0,76.0,56.0
Thir13en Ghosts,77.0,73.0,76.0,56.0
Planet of the Apes,77.0,73.0,73.0,56.0
The Others,55.0,55.0,55.0,55.0
Joe Dirt,77.0,73.0,76.0,56.0
Atlantis: The Lost Empire,77.0,73.0,69.0,46.0
Rat Race,77.0,73.0,73.0,56.0
Summer Catch,77.0,73.0,76.0,56.0
Wet Hot American Summer,77.0,73.0,76.0,56.0
Shallow Hal,77.0,73.0,72.0,55.0
Zoolander,77.0,73.0,76.0,56.0
Jurassic Park III,77.0,73.0,73.0,56.0
Enemy at the Gates,55.0,55.0,55.0,55.0
Gosford Park,56.0,56.0,56.0,56.0
Swordfish,77.0,73.0,73.0,56.0
Jeepers Creepers,77.0,73.0,76.0,56.0
Sex and Lucía,55.0,55.0,55.0,55.0
Hardball,77.0,73.0,76.0,56.0
Evolution,77.0,73.0,76.0,56.0
Original Sin,77.0,73.0,76.0,56.0
Monster's Ball,55.0,55.0,55.0,55.0
Spy Kids,77.0,73.0,73.0,56.0
Behind Enemy Lines,77.0,73.0,73.0,56.0
Intimacy,77.0,73.0,76.0,56.0
Bully,79.0,76.0,65.0,56.0
Bridget Jones's Diary,77.0,73.0,76.0,56.0
I Am Sam,55.0,55.0,55.0,55.0
The Last Castle,88.0,72.0,72.0,55.0
The Piano Teacher,55.0,55.0,55.0,55.0
Spy Game,88.0,72.0,72.0,55.0
Lara Croft: Tomb Raider,77.0,73.0,73.0,56.0
American Pie 2,77.0,73.0,76.0,56.0
Frailty,55.0,55.0,55.0,55.0
Along Came a Spider,77.0,73.0,76.0,56.0
Rush Hour 2,77.0,73.0,73.0,56.0
Save the Last Dance,77.0,73.0,76.0,56.0
Domestic Disturbance,77.0,73.0,76.0,56.0
Riding in Cars with Boys,79.0,76.0,65.0,56.0
The Animal,66.0,76.0,66.0,56.0
How High,77.0,73.0,76.0,56.0
Joy Ride,77.0,73.0,73.0,56.0
3000 Miles to Graceland,77.0,73.0,73.0,56.0
The Score,77.0,73.0,73.0,56.0
Jason X,73.0,76.0,72.0,73.0
Jay and Silent Bob Strike Back,77.0,73.0,76.0,56.0
The Mexican,77.0,73.0,76.0,56.0
From Hell,77.0,73.0,76.0,56.0
Crocodile Dundee in Los Angeles,73.0,76.0,72.0,73.0
Heist,77.0,73.0,73.0,56.0
Serendipity,77.0,73.0,76.0,56.0
Brotherhood of the Wolf,88.0,72.0,72.0,55.0
The Pledge,77.0,73.0,76.0,56.0
American Outlaws,77.0,73.0,73.0,56.0
Ghosts of Mars,73.0,76.0,72.0,73.0
Rock Star,82.0,73.0,76.0,53.0
Osmosis Jones,77.0,73.0,69.0,46.0
Fat Girl,77.0,73.0,76.0,56.0
Saving Silverman,77.0,73.0,76.0,56.0
The Glass House,77.0,73.0,76.0,56.0
The Wedding Planner,77.0,73.0,76.0,56.0
Session 9,77.0,73.0,76.0,56.0
Hedwig and the Angry Inch,56.0,56.0,56.0,56.0
Baby Boy,77.0,73.0,76.0,56.0
K-PAX,55.0,55.0,55.0,55.0
Freddy Got Fingered,67.0,76.0,70.0,56.0
Sweet November,77.0,73.0,76.0,56.0
Kate & Leopold,77.0,73.0,76.0,56.0
Don't Say a Word,77.0,73.0,76.0,56.0
Ali,79.0,76.0,65.0,56.0
Life as a House,55.0,55.0,55.0,55.0
Ichi the Killer,88.0,72.0,72.0,55.0
Tomcats,77.0,73.0,76.0,56.0
Bandits,77.0,73.0,76.0,56.0
Monkeybone,63.0,76.0,68.0,45.0
In the Bedroom,55.0,55.0,55.0,55.0
Pootie Tang,77.0,73.0,73.0,56.0
Waking Life,57.0,57.0,68.0,46.0
Bubble Boy,77.0,73.0,76.0,56.0
Josie and the Pussycats,77.0,73.0,76.0,56.0
The Devil's Backbone,55.0,55.0,55.0,55.0
Shaolin Soccer,88.0,71.0,70.0,55.0
Jimmy Neutron: Boy Genius,77.0,73.0,69.0,46.0
Driven,73.0,76.0,72.0,73.0
Get Over It,77.0,73.0,70.0,56.0
Cowboy Bebop: The Movie,57.0,57.0,68.0,46.0
An American Rhapsody,77.0,73.0,76.0,56.0
Exit Wounds,77.0,73.0,73.0,56.0
Manic,55.0,55.0,55.0,55.0
Lagaan: Once Upon a Time in India,81.0,69.0,96.0,44.0
The Majestic,77.0,73.0,76.0,56.0
Valentine,76.0,76.0,76.0,76.0
Final Fantasy: The Spirits Within,77.0,73.0,69.0,46.0
The One,77.0,73.0,70.0,56.0
Lost and Delirious,77.0,73.0,76.0,56.0
Sugar & Spice,77.0,73.0,76.0,56.0
Cats & Dogs,77.0,73.0,70.0,56.0
Hearts in Atlantis,77.0,73.0,76.0,56.0
America's Sweethearts,77.0,73.0,76.0,56.0
Kiss of the Dragon,77.0,73.0,73.0,56.0
Captain Corelli's Mandolin,77.0,73.0,76.0,56.0
The Believer,55.0,55.0,55.0,55.0
Dil Chahta Hai,60.0,67.0,86.0,56.0
Someone Like You,77.0,73.0,76.0,56.0
Mean Machine,77.0,73.0,76.0,56.0
Enigma,77.0,73.0,76.0,56.0
The Experiment,55.0,55.0,55.0,55.0
Millennium Actress,57.0,57.0,70.0,46.0
The Tailor of Panama,77.0,73.0,76.0,56.0
Formula 51,77.0,73.0,73.0,56.0
15 Minutes,77.0,73.0,73.0,56.0
Iris,79.0,76.0,63.0,55.0
Nowhere in Africa,79.0,76.0,63.0,55.0
Crazy/Beautiful,77.0,73.0,76.0,56.0
Angel Eyes,77.0,73.0,76.0,56.0
Kabhi Khushi Kabhie Gham...,55.0,55.0,55.0,55.0
Buffalo Soldiers,77.0,73.0,76.0,56.0
The Anniversary Party,77.0,73.0,76.0,56.0
Blow Dry,77.0,73.0,76.0,56.0
The Musketeer,73.0,76.0,72.0,73.0
O,77.0,73.0,76.0,56.0
Birthday Girl,77.0,73.0,76.0,56.0
Human Nature,77.0,73.0,76.0,56.0
Made,77.0,73.0,76.0,56.0
One Night at McCool's,77.0,73.0,76.0,56.0
Dr. Dolittle 2,67.0,76.0,70.0,56.0
Trouble Every Day,77.0,73.0,76.0,56.0
Max Keeble's Big Move,77.0,73.0,76.0,56.0
The Center of the World,77.0,73.0,76.0,56.0
Wasabi,77.0,73.0,73.0,56.0
Soul Survivors,76.0,76.0,76.0,76.0
Black Knight,76.0,76.0,76.0,76.0
The Shipping News,77.0,73.0,76.0,56.0
The Deep End,77.0,73.0,76.0,56.0
The Son's Room,55.0,55.0,55.0,55.0
Kissing Jessica Stein,77.0,73.0,76.0,56.0
Antitrust,77.0,73.0,73.0,56.0
Just Visiting,77.0,73.0,76.0,56.0
Knockaround Guys,77.0,73.0,76.0,56.0
Monsoon Wedding,57.0,57.0,72.0,55.0
Lantana,66.0,67.0,66.0,55.0
L.I.E.,55.0,55.0,55.0,55.0
The Wash,66.0,76.0,66.0,56.0
Bones,76.0,76.0,76.0,76.0
Say It Isn't So,66.0,76.0,66.0,56.0
Texas Rangers,77.0,73.0,73.0,56.0
What's the Worst That Could Happen?,77.0,73.0,76.0,56.0
Head Over Heels,77.0,73.0,76.0,56.0
Glitter,0.0,0.0,0.0,0.0
Down to Earth,77.0,73.0,70.0,56.0
Tape,55.0,55.0,55.0,55.0
See Spot Run,77.0,73.0,73.0,56.0
Two Can Play That Game,77.0,73.0,76.0,56.0
Impostor,77.0,73.0,76.0,56.0
Storytelling,77.0,73.0,70.0,56.0
Metropolis,57.0,57.0,68.0,46.0
"Scotland, Pa.",77.0,73.0,76.0,56.0
Tortilla Soup,77.0,73.0,76.0,56.0
The Affair of the Necklace,77.0,73.0,76.0,56.0
Lovely & Amazing,77.0,73.0,76.0,56.0
La Ciénaga,56.0,56.0,56.0,56.0
Corky Romano,66.0,76.0,66.0,56.0
Read My Lips,55.0,55.0,55.0,55.0
Recess: School's Out,77.0,73.0,69.0,46.0
The Other Side of Heaven,77.0,73.0,76.0,56.0
The Grey Zone,55.0,55.0,55.0,55.0
Novocaine,77.0,73.0,76.0,56.0
Charlotte Gray,77.0,67.0,76.0,56.0
The Curse of the Jade Scorpion,77.0,73.0,76.0,56.0
Spider-Man,88.0,70.0,72.0,55.0
The Sum of All Fears,77.0,77.0,73.0,56.0
8 Mile,66.0,77.0,66.0,55.0
The Pianist,79.0,77.0,63.0,55.0
Harry Potter and the Chamber of Secrets,66.0,77.0,66.0,55.0
The Lord of the Rings: The Two Towers,88.0,77.0,72.0,55.0
Road to Perdition,66.0,77.0,66.0,58.0
Resident Evil,77.0,77.0,73.0,56.0
Catch Me If You Can,79.0,77.0,63.0,55.0
28 Days Later...,66.0,77.0,66.0,55.0
City of God,69.0,77.0,93.0,55.0
Irreversible,66.0,77.0,66.0,55.0
The Ring,66.0,77.0,66.0,55.0
Signs,77.0,77.0,76.0,56.0
The Bourne Identity,88.0,77.0,72.0,55.0
Star Wars: Episode II - Attack of the Clones,77.0,77.0,73.0,56.0
Secretary,66.0,77.0,66.0,56.0
Scooby-Doo,77.0,77.0,76.0,56.0
Reign of Fire,77.0,77.0,73.0,56.0
Minority Report,88.0,77.0,72.0,55.0
Austin Powers in Goldmember,77.0,77.0,73.0,56.0
Red Dragon,66.0,77.0,66.0,55.0
Gangs of New York,66.0,77.0,66.0,55.0
The Importance of Being Earnest,77.0,77.0,76.0,56.0
Sweet Home Alabama,77.0,77.0,76.0,56.0
The Count of Monte Cristo,88.0,77.0,72.0,55.0
The Hot Chick,77.0,77.0,76.0,56.0
Adaptation.,66.0,77.0,66.0,56.0
Unfaithful,77.0,77.0,76.0,56.0
Ice Age,64.0,77.0,68.0,46.0
Panic Room,77.0,77.0,76.0,56.0
Men in Black II,77.0,77.0,73.0,56.0
Lilo & Stitch,64.0,77.0,68.0,46.0
Chicago,66.0,77.0,66.0,56.0
A Walk to Remember,66.0,77.0,66.0,55.0
Treasure Planet,64.0,77.0,68.0,46.0
My Big Fat Greek Wedding,77.0,77.0,76.0,56.0
We Were Soldiers,88.0,77.0,72.0,55.0
The Sweetest Thing,77.0,77.0,76.0,56.0
xXx,77.0,77.0,73.0,56.0
Equilibrium,88.0,77.0,72.0,55.0
The Scorpion King,77.0,77.0,73.0,56.0
Punch-Drunk Love,66.0,77.0,66.0,56.0
Die Another Day,77.0,77.0,73.0,56.0
The Time Machine,77.0,77.0,73.0,56.0
Bend It Like Beckham,77.0,77.0,76.0,56.0
The Transporter,77.0,77.0,73.0,56.0
Blue Crush,77.0,77.0,76.0,56.0
Ghost Ship,77.0,77.0,76.0,56.0
Van Wilder,77.0,77.0,76.0,56.0
Maid in Manhattan,82.0,77.0,76.0,53.0
Spirit: Stallion of the Cimarron,64.0,77.0,68.0,46.0
Blade II,77.0,77.0,73.0,58.0
Frida,79.0,77.0,63.0,55.0
Phone Booth,66.0,77.0,66.0,55.0
About a Boy,66.0,77.0,66.0,56.0
Confessions of a Dangerous Mind,79.0,77.0,63.0,55.0
Kung Pow: Enter the Fist,77.0,77.0,73.0,56.0
Star Trek: Nemesis,77.0,77.0,73.0,56.0
Eight Legged Freaks,77.0,77.0,73.0,56.0
Queen of the Damned,77.0,77.0,76.0,56.0
Femme Fatale,77.0,77.0,72.0,55.0
The Hours,66.0,77.0,66.0,55.0
40 Days and 40 Nights,77.0,77.0,76.0,56.0
One Hour Photo,77.0,77.0,76.0,56.0
Cabin Fever,77.0,77.0,76.0,56.0
Secret Things,77.0,77.0,76.0,56.0
The New Guy,77.0,77.0,76.0,56.0
Orange County,77.0,77.0,76.0,56.0
Mr. Deeds,77.0,77.0,76.0,56.0
Devdas,66.0,77.0,66.0,55.0
John Q,66.0,77.0,66.0,55.0
25th Hour,66.0,77.0,66.0,55.0
Infernal Affairs,88.0,77.0,72.0,55.0
Solaris,77.0,77.0,76.0,56.0
Like Mike,77.0,77.0,76.0,56.0
The Rules of Attraction,77.0,77.0,76.0,56.0
I Spy,77.0,77.0,73.0,56.0
The Mothman Prophecies,77.0,77.0,76.0,56.0
Antwone Fisher,79.0,77.0,63.0,55.0
The Good Girl,77.0,77.0,76.0,56.0
Spun,77.0,77.0,76.0,56.0
Sympathy for Mr. Vengeance,66.0,77.0,66.0,55.0
Enough,77.0,77.0,76.0,56.0
High Crimes,77.0,77.0,76.0,56.0
Two Weeks Notice,77.0,77.0,76.0,56.0
Death to Smoochy,77.0,77.0,76.0,56.0
The Four Feathers,77.0,77.0,73.0,56.0
Better Luck Tomorrow,66.0,77.0,66.0,55.0
Big Fat Liar,77.0,77.0,76.0,56.0
About Schmidt,66.0,77.0,66.0,56.0
The Master of Disguise,77.0,77.0,77.0,77.0
Drumline,77.0,77.0,76.0,56.0
Halloween: Resurrection,77.0,77.0,77.0,77.0
Windtalkers,77.0,77.0,73.0,56.0
Friday After Next,81.0,71.0,76.0,56.0
Eye See You,77.0,77.0,76.0,56.0
Undercover Brother,77.0,77.0,73.0,56.0
Spy Kids 2: Island of Lost Dreams,77.0,77.0,73.0,56.0
Tuck Everlasting,77.0,77.0,76.0,56.0
Murder by Numbers,77.0,77.0,76.0,56.0
Hart's War,77.0,77.0,76.0,56.0
Asterix & Obelix: Mission Cleopatra,77.0,77.0,76.0,56.0
Swept Away,66.0,77.0,66.0,56.0
May,77.0,77.0,76.0,56.0
Dragonfly,77.0,77.0,76.0,56.0
Juwanna Mann,66.0,77.0,66.0,56.0
Divine Secrets of the Ya-Ya Sisterhood,77.0,77.0,76.0,56.0
Dirty Pretty Things,66.0,77.0,66.0,55.0
Paid in Full,88.0,77.0,72.0,55.0
The Tuxedo,77.0,77.0,73.0,56.0
Swimfan,81.0,71.0,76.0,56.0
Talk to Her,66.0,77.0,66.0,55.0
Lilya 4-Ever,66.0,77.0,66.0,55.0
Serving Sara,77.0,77.0,76.0,56.0
K-19: The Widowmaker,77.0,77.0,76.0,56.0
Stuart Little 2,77.0,77.0,69.0,46.0
Igby Goes Down,77.0,77.0,76.0,56.0
24 Hour Party People,79.0,77.0,63.0,58.0
Rollerball,73.0,77.0,72.0,73.0
Changing Lanes,77.0,77.0,76.0,56.0
White Oleander,66.0,77.0,66.0,55.0
Below,82.0,77.0,73.0,53.0
Big Trouble,81.0,71.0,76.0,56.0
Far from Heaven,66.0,77.0,66.0,55.0
Bubba Ho-Tep,66.0,77.0,66.0,56.0
S1m0ne,77.0,77.0,76.0,58.0
Auto Focus,81.0,77.0,65.0,53.0
Blood Work,77.0,77.0,73.0,56.0
Collateral Damage,77.0,77.0,73.0,56.0
Undisputed,77.0,77.0,73.0,56.0
The Salton Sea,66.0,77.0,66.0,55.0
Ju-on: The Grudge,77.0,77.0,76.0,56.0
Barbershop,77.0,77.0,76.0,56.0
Whale Rider,66.0,77.0,66.0,55.0
Rabbit-Proof Fence,66.0,77.0,66.0,55.0
Trapped,77.0,77.0,73.0,56.0
Narc,82.0,77.0,70.0,53.0
In America,82.0,77.0,70.0,53.0
Dark Blue,77.0,77.0,76.0,56.0
Dahmer,79.0,77.0,65.0,56.0
Boat Trip,66.0,77.0,66.0,56.0
The Magdalene Sisters,63.0,77.0,72.0,55.0
Nicholas Nickleby,66.0,77.0,66.0,55.0
8 Women,66.0,77.0,66.0,56.0
Spider,77.0,77.0,76.0,56.0
Snow Dogs,77.0,77.0,76.0,56.0
The Quiet American,66.0,77.0,66.0,55.0
The Santa Clause 2,77.0,77.0,76.0,56.0
Laurel Canyon,77.0,77.0,76.0,56.0
Slackers,77.0,77.0,76.0,56.0
Sorority Boys,77.0,77.0,76.0,56.0
The Country Bears,66.0,77.0,66.0,56.0
All About the Benjamins,77.0,77.0,73.0,56.0
Abandon,77.0,77.0,77.0,77.0
Gerry,77.0,77.0,76.0,56.0
The Spanish Apartment,66.0,77.0,66.0,56.0
Clockstoppers,77.0,77.0,73.0,56.0
Pumpkin,77.0,77.0,76.0,56.0
Peter Pan 2: Return to Never Land,77.0,77.0,69.0,46.0
Russian Ark,66.0,77.0,66.0,55.0
Poolhall Junkies,77.0,77.0,76.0,56.0
Feardotcom,77.0,77.0,77.0,77.0
Morvern Callar,77.0,77.0,76.0,56.0
No Good Deed,77.0,77.0,76.0,56.0
Darkness,77.0,77.0,76.0,56.0
Analyze That,77.0,77.0,76.0,56.0
The Banger Sisters,77.0,77.0,76.0,56.0
Demonlover,77.0,77.0,76.0,56.0
The Wild Thornberrys,81.0,71.0,69.0,46.0
The Adventures of Pluto Nash,73.0,77.0,72.0,73.0
Bloody Sunday,66.0,77.0,66.0,55.0
Eight Crazy Nights,77.0,77.0,69.0,46.0
Full Frontal,66.0,77.0,66.0,56.0
Moonlight Mile,77.0,77.0,76.0,58.0
Half Past Dead,73.0,77.0,72.0,73.0
Life or Something Like It,77.0,77.0,76.0,56.0
Showtime,77.0,77.0,73.0,56.0
Open Hearts,66.0,77.0,66.0,55.0
Ted Bundy,79.0,77.0,65.0,56.0
Sex Is Comedy,77.0,77.0,76.0,56.0
Ballistic: Ecks vs. Sever,73.0,77.0,72.0,73.0
